;linha_identificada;distancia_identificada;linha_faltosa;distancia real;tipo_de_falta;r_f;erro
180;l3;2296,291266043498;l3;2296,0584000000003;.1.0;r_0_00001;0,0004050237002074831
181;l3;2295,7029181325724;l3;2296,0584000000003;.2.0;r_0_00001;-0,0006182892925893087
182;l3;2295,767950494553;l3;2296,0584000000003;.3.0;r_0_00001;-0,0005051785638329269
183;l3;2295,6850418282456;l3;2296,0584000000003;.1.2;r_0_00001;-0,000649381532641699
184;l3;2295,7212053685066;l3;2296,0584000000003;.2.3;r_0_00001;-0,0005864823195615116
185;l3;2296,0528377426103;l3;2296,0584000000003;.1.3;r_0_00001;-9,67442928032626e-06
186;l3;2295,7921562692222;l3;2296,0584000000003;.1.2.0;r_0_00001;-0,0004630774817017294
187;l3;2295,7480425981994;l3;2296,0584000000003;.2.3.0;r_0_00001;-0,0005398043500722031
188;l3;2295,991917233484;l3;2296,0584000000003;.1.3.0;r_0_00001;-0,00011563341606205355
189;l3;2295,7961447811463;l3;2296,0584000000003;.1.2.3.0;r_0_00001;-0,0004561402664962423
190;l3;3278,9861661659816;l3;3278,4288;.1.0;r_0_00001;0,0009694264716547483
191;l3;3277,120539358284;l3;3278,4288;.2.0;r_0_00001;-0,0022754565585630716
192;l3;3277,3497410697178;l3;3278,4288;.3.0;r_0_00001;-0,0018768062278219746
193;l3;3277,3505693560883;l3;3278,4288;.1.2;r_0_00001;-0,0018753655900820326
194;l3;3277,3620336522667;l3;3278,4288;.2.3;r_0_00001;-0,0018554257500403722
195;l3;3278,3308988638773;l3;3278,4288;.1.3;r_0_00001;-0,0001702793580866214
196;l3;3277,530676704827;l3;3278,4288;.1.2.0;r_0_00001;-0,0015621050402614065
197;l3;3277,3800523108275;l3;3278,4288;.2.3.0;r_0_00001;-0,0018240859133967751
198;l3;3278,2100305764743;l3;3278,4288;.1.3.0;r_0_00001;-0,0003805054617571745
199;l3;3277,543891213646;l3;3278,4288;.1.2.3.0;r_0_00001;-0,0015391210569465266
200;l3;4261,801478712774;l3;4260,7992;.1.0;r_0_00001;0,001743262464502052
201;l3;4257,916901534446;l3;4260,7992;.2.0;r_0_00001;-0,005013179131170031
202;l3;4258,415944577374;l3;4260,7992;.3.0;r_0_00001;-0,004145194015034332
203;l3;4258,733684483831;l3;4260,7992;.1.2;r_0_00001;-0,0035925492812475144
204;l3;4258,669553402229;l3;4260,7992;.2.3;r_0_00001;-0,0037040924138507254
205;l3;4260,53097142006;l3;4260,7992;.1.3;r_0_00001;-0,0004665297280656544
206;l3;4258,874197794159;l3;4260,7992;.1.2.0;r_0_00001;-0,0033481546068560284
207;l3;4258,555847927285;l3;4260,7992;.2.3.0;r_0_00001;-0,0039018602442480767
208;l3;4260,333105011303;l3;4260,7992;.1.3.0;r_0_00001;-0,0008106785950190192
209;l3;4258,902878060121;l3;4260,7992;.1.2.3.0;r_0_00001;-0,0032982710460396506
210;l3;5244,735681904122;l3;5243,169599999999;.1.0;r_0_00001;0,002723884848595346
211;l3;5238,375130806776;l3;5243,169599999999;.2.0;r_0_00001;-0,008339015959571053
212;l3;5239,203221309658;l3;5243,169599999999;.3.0;r_0_00001;-0,0068987188920113665
213;l3;5239,813577883106;l3;5243,169599999999;.1.2;r_0_00001;-0,005837126252266925
214;l3;5239,640185631237;l3;5243,169599999999;.2.3;r_0_00001;-0,006138707240135924
215;l3;5242,650655133707;l3;5243,169599999999;.1.3;r_0_00001;-0,000902600339629907
216;l3;5239,976677410786;l3;5243,169599999999;.1.2.0;r_0_00001;-0,005553447390330574
217;l3;5239,461780118735;l3;5243,169599999999;.2.3.0;r_0_00001;-0,006449007787719008
218;l3;5242,392395707186;l3;5243,169599999999;.1.3.0;r_0_00001;-0,0013517907281123847
219;l3;5240,024903363559;l3;5243,169599999999;.1.2.3.0;r_0_00001;-0,005469568034006447
220;l3;6227,787214332386;l3;6225,539999999999;.1.0;r_0_00001;0,003908577869023695
221;l3;6218,322930669771;l3;6225,539999999999;.2.0;r_0_00001;-0,012552642200968547
222;l3;6219,569207814099;l3;6225,539999999999;.3.0;r_0_00001;-0,010384993483715712
223;l3;6220,722485653851;l3;6225,539999999999;.1.2;r_0_00001;-0,008379098373344203
224;l3;6220,403964605703;l3;6225,539999999999;.2.3;r_0_00001;-0,008933101746173532
225;l3;6224,704667430825;l3;6225,539999999999;.1.3;r_0_00001;-0,0014528931869535215
226;l3;6220,736842932515;l3;6225,539999999999;.1.2.0;r_0_00001;-0,008354126771465492
227;l3;6219,982398731915;l3;6225,539999999999;.2.3.0;r_0_00001;-0,00966633089164264
228;l3;6224,363837482777;l3;6225,539999999999;.1.3.0;r_0_00001;-0,002045698409331156
229;l3;6220,810352026319;l3;6225,539999999999;.1.2.3.0;r_0_00001;-0,008226272470665461
230;l3;7210,954472596979;l3;7207,910399999999;.1.0;r_0_00001;0,005294552732592271
231;l3;7197,887590058133;l3;7207,910399999999;.2.0;r_0_00001;-0,01743266432561441
232;l3;7199,621881714224;l3;7207,910399999999;.3.0;r_0_00001;-0,014416212406570846
